"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7252","opens the home page","","Tue Jul 15 13:24:57 CEST 2025","passed","Tue Jul 15 13:25:05 CEST 2025","","Searching flow","",""
"","368","verifies the disabled attribute of the send button","","Tue Jul 15 13:24:54 CEST 2025","passed","Tue Jul 15 13:24:54 CEST 2025","","Alumni association flow","",""
"","432","checks subjects for selected semesters","","Tue Jul 15 13:25:22 CEST 2025","passed","Tue Jul 15 13:25:22 CEST 2025","","Study field flow","",""
"","2322","opens the menu and navigates to the alumni association page","","Tue Jul 15 13:24:51 CEST 2025","passed","Tue Jul 15 13:24:53 CEST 2025","","Alumni association flow","",""
"","1018","opens and closes the sports scholarships panel","","Tue Jul 15 13:25:22 CEST 2025","passed","Tue Jul 15 13:25:23 CEST 2025","","Study field flow","",""
"","7660","opens the home page","","Tue Jul 15 13:24:43 CEST 2025","passed","Tue Jul 15 13:24:51 CEST 2025","","Alumni association flow","",""
"","7180","opens the home page","","Tue Jul 15 13:25:11 CEST 2025","passed","Tue Jul 15 13:25:18 CEST 2025","","Study field flow","",""
"","640","fills and verifies input fields","","Tue Jul 15 13:24:53 CEST 2025","passed","Tue Jul 15 13:24:54 CEST 2025","","Alumni association flow","",""
"","1331","defines search parameters","","Tue Jul 15 13:25:05 CEST 2025","passed","Tue Jul 15 13:25:06 CEST 2025","","Searching flow","",""
"","1821","performs the first search","","Tue Jul 15 13:25:06 CEST 2025","passed","Tue Jul 15 13:25:08 CEST 2025","","Searching flow","",""
"","305","verifies filtering via the left sidebar","","Tue Jul 15 13:25:08 CEST 2025","passed","Tue Jul 15 13:25:08 CEST 2025","","Searching flow","",""
"","3384","navigates to the web applications page","","Tue Jul 15 13:25:18 CEST 2025","passed","Tue Jul 15 13:25:22 CEST 2025","","Study field flow","",""
